gene_IDs	gene_names	K_score
YBL015W	ACH1	1000
YDL205C	HEM3	1000
YDR044W	HEM13	1000
YDR047W	HEM12	1000
YDR232W	HEM1	1000
YDR300C	PRO1	1000
YEL046C	GLY1	1000
YER014W	HEM14	1000
YER065C	ICL1	1000
YER170W	ADK2	1000
YFL030W	AGX1	1000
YGL040C	HEM2	1000
YLR348C	DIC1	1000
YMR319C	FET4	1000
YOL086C	ADH1	1000
YOR176W	HEM15	1000
YOR278W	HEM4	1000
YOR323C	PRO2	1000
YPL172C	COX10	1000
YJR069C	HAM1	1000
YER141W	COX15	1000
YDR452W	PPN1	1000
YNL065W	AQR1	1000
YJL133W	MRS3	1000
YKR052C	MRS4	1000
YPL262W	FUM1	342.192985320174
YPR074C	TKL1	43.3082857959611
YJR095W	SFC1	31.325523251667
YJL121C	RPE1	10.3657191289008
YHR002W	LEU5	9.27080008096487
YJL167W	ERG20	9.27080008096486
YML126C	ERG13	9.27080008096486
YMR220W	ERG8	9.27080008096486
YLR450W	HMG2	9.27080008096486
YMR208W	ERG12	9.27080008096486
YNR043W	MVD1	9.27080008096486
YPL028W	ERG10	9.27080008096486
YPL117C	IDI1	9.27080008096486
YHR137W	ARO9	6.14347390959366
YHR163W	SOL3	5.46998534978739
YHR183W	GND1	5.46998534978739
YNL241C	ZWF1	5.46998534978739
YBR221C	PDB1	3.57854793001231
YER178W	PDA1	3.57854793001231
YGR193C	PDX1	3.57854793001231
YNL071W	LAT1	3.57854793001231
YCR053W	THR4	2.95756136483936
YHR025W	THR1	2.95756136483936
YDR158W	HOM2	2.9575551622128
YER052C	HOM3	2.9575551622128
YJR139C	HOM6	2.9575551622128
YOR095C	RKI1	2.87513607618495
YLR044C	PDC1	2.84048395726367
YNR001C	CIT1	2.82128291656118
YGL080W	MPC1	2.48945761334036
YGR243W	MPC3	2.48945761334036
YHR162W	MPC2	2.48945761334036
YGL062W	PYC1	2.41452849463093
YAL038W	CDC19	2.37005997540444
YGR254W	ENO1	2.20621732764662
YOR283W	YOR283W	2.20621732764635
YNL036W	NCE103	1.66764891068228
YCR012W	PGK1	1.17090531042208
YJL052W	TDH1	1.17090531042208
YDR050C	TPI1	1.06805074618861
YKL060C	FBA1	1.06130862960123
YMR205C	PFK2	1.06130862960122
YDR516C	EMI2	1.00067214191613
YKR039W	GAP1	0.151592379559169
YBR006W	UGA2	0.14830625
YBL039C	URA7	0.133931198022575
YJR103W	URA8	0.133931198022575
YDR503C	LPP1	0.107826372145542
YDL100C	GET3	0.0762500000000548
YDR508C	GNP1	0.07625
YDL024C	DIA3	0.07625
YER069W	ARG5,6	0.0753127384427565
YMR062C	ARG7	0.0753127384427565
YOR130C	ORT1	0.0753127384427565
YOL140W	ARG8	0.0753127384427565
YLR174W	IDP2	0.0611910836283507
YER081W	SER3	0.0151805428375741
YGR208W	SER2	0.0151805428375741
YIL074C	SER33	0.0151805428375741
YOR184W	SER1	0.0151805428375741
YLR058C	SHM2	0.00484542735273517
YGR204W	ADE3	0.00195198883601836
YAL044C	GCV3	0
YBR263W	SHM1	0
YCL040W	GLK1	0
YDR019C	GCV1	0
YDR148C	KGD2	0
YER070W	RNR1	0
YFR053C	HXK1	0
YGL253W	HXK2	0
YGR180C	RNR4	0
YIL066C	RNR3	0
YIL125W	KGD1	0
YJL026W	RNR2	0
YKL029C	MAE1	0
YKL085W	MDH1	0
YLR438W	CAR2	0
YMR189W	GCV2	0
YMR241W	YHM2	0
YMR246W	FAA4	0
YOR317W	FAA1	0
YOR388C	FDH1	0
YLR446W	YLR446W	0
