genes	enzymes	shortNames	MWs	actions	k_scores
YBL015W	P32316	ACH1	58.71137	1	1000
YDL205C	P28789	HEM3	36.67427	1	1000
YDR044W	P11353	HEM13	37.71116	1	1000
YDR047W	P32347	HEM12	41.34866	1	1000
YDR232W	P09950	HEM1	59.36171	1	1000
YDR300C	P32264	PRO1	47.16164	1	1000
YDR452W	Q04119	PPN1	78.34335	1	1000
YEL046C	P37303	GLY1	42.81463	1	1000
YER014W	P40012	HEM14	59.70226	1	1000
YER065C	P28240	ICL1	62.40816	1	1000
YER141W	P40086	COX15	54.65792	1	1000
YER170W	P26364	ADK2	25.19373	1	1000
YFL030W	P43567	AGX1	41.90679	1	1000
YGL040C	P05373	HEM2	37.73995	1	1000
YJL133W		MRS3	NaN	1	1000
YJR069C	P47119	HAM1	22.09268	1	1000
YKR052C		MRS4	NaN	1	1000
YLR348C		DIC1	NaN	1	1000
YMR319C	P40988	FET4	62.7913	1	1000
YNL065W		AQR1	NaN	1	1000
YOL086C	P00330	ADH1	36.84874	1	1000
YOR176W	P16622	HEM15	44.5956	1	1000
YOR278W	P06174	HEM4	30.91124	1	1000
YOR323C	P54885	PRO2	49.73991	1	1000
YPL172C	P21592	COX10	52.14718	1	1000
YPL262W	P08417	FUM1	53.15125	1	342.192985320174
YPR074C	P23254	TKL1	73.80488	1	43.3082857959611
YJR095W		SFC1	NaN	1	31.325523251667
YJL121C	P46969	RPE1	25.96689	1	10.3657191289008
YHR002W		LEU5	NaN	1	9.27080008096487
YJL167W	P08524	ERG20	40.48289	1	9.27080008096486
YML126C	P54839	ERG13	55.01283	1	9.27080008096486
YMR220W	P24521	ERG8	50.45437	1	9.27080008096486
YLR450W	P12684	HMG2	115.69085	1	9.27080008096486
YMR208W	P07277	ERG12	48.45901	1	9.27080008096486
YNR043W	P32377	MVD1	44.11544	1	9.27080008096486
YPL028W	P41338	ERG10	41.72825	1	9.27080008096486
YPL117C	P15496	IDI1	33.35113	1	9.27080008096486
YHR137W	P38840	ARO9	58.52706	1	6.14347390959366
YHR163W	P38858	SOL3	27.78417	1	5.46998534978739
YHR183W	P38720	GND1	53.54274	1	5.46998534978739
YNL241C	P11412	ZWF1	57.5209	1	5.46998534978739
YBR221C	P32473	PDB1	40.0532	1	3.57854793001231
YER178W	P16387	PDA1	46.34261	1	3.57854793001231
YGR193C	P16451	PDX1	45.36125	1	3.57854793001231
YNL071W	P12695	LAT1	51.81762	1	3.57854793001231
YCR053W	P16120	THR4	57.47349	1	2.95756136483936
YHR025W	P17423	THR1	38.71215	1	2.95756136483936
YDR158W	P13663	HOM2	39.54334	1	2.9575551622128
YER052C	P10869	HOM3	58.10913	1	2.9575551622128
YJR139C	P31116	HOM6	38.50163	1	2.9575551622128
YOR095C	Q12189	RKI1	28.25777	1	2.87513607618495
YLR044C	P06169	PDC1	61.49468	1	2.84048395726367
YNR001C	P00890	CIT1	53.35945	1	2.82128291656118
YGL080W		MPC1	NaN	1	2.48945761334036
YGR243W		MPC3	NaN	1	2.48945761334036
YHR162W		MPC2	NaN	1	2.48945761334036
YGL062W	P11154	PYC1	130.09827	1	2.41452849463093
YAL038W	P00549	CDC19	54.54404	1	2.37005997540444
YGR254W	P00924	ENO1	46.81564	1	2.20621732764662
YOR283W	Q12040	YOR283W	26.17622	1	2.20621732764635
YNL036W	P53615	NCE103	24.85889	1	1.66764891068228
YCR012W	P00560	PGK1	44.73787	1	1.17090531042208
YJL052W	P00360	TDH1	35.74956	1	1.17090531042208
YDR050C	P00942	TPI1	26.79508	1	1.06805074618861
YKL060C	P14540	FBA1	39.62024	1	1.06130862960123
YMR205C	P16862	PFK2	104.61673	1	1.06130862960122
YDR516C	Q04409	EMI2	55.92028	1	1.00067214191613
YLR058C	P37291	SHM2	52.21793	0	0.00484542735273517
YGR204W	P07245	ADE3	102.20412	0	0.00195198883601836
YAL044C	P39726	GCV3	18.79276	0	0
YBR263W	P37292	SHM1	53.68589	0	0
YCL040W	P17709	GLK1	55.37689	0	0
YDR019C	P48015	GCV1	44.46849	0	0
YDR148C	P19262	KGD2	50.43011	0	0
YER070W	P21524	RNR1	99.56021	0	0
YFR053C	P04806	HXK1	53.73784	0	0
YGL253W	P04807	HXK2	53.9419	0	0
YGR180C	P49723	RNR4	40.05407	0	0
YIL066C	P21672	RNR3	97.51369	0	0
YIL125W	P20967	KGD1	114.41496	0	0
YJL026W	P09938	RNR2	46.14681	0	0
YKL029C	P36013	MAE1	74.37529	0	0
YKL085W	P17505	MDH1	35.64959	0	0
YLR438W	P07991	CAR2	46.08557	0	0
YLR446W	Q06204	YLR446W	48.96875	0	0
YMR189W	P49095	GCV2	114.45033	0	0
YMR241W		YHM2	NaN	0	0
YMR246W	P47912	FAA4	77.26612	0	0
YOR317W	P30624	FAA1	77.86529	0	0
YOR388C	Q08911	FDH1	41.7138	0	0
