genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange	unique	conectivity	groups	priority
YBL015W	P32316	ACH1	58.71137	OE	1000	2	1.59836109750842e-05	1.59864385383379e-05	1.59847851450843e-05	1.00485837417932	1	7	0	1
YDL205C	P28789	HEM3	36.67427	OE	1000	2	0.000232099197285789	0.000232099197287165	0.000232099197285789	1.0458546885881	1	4	0	1
YDR044W	P11353	HEM13	37.71116	OE	1000	2	0.000853321232033522	0.000853321232038934	0.000853321232033522	1.19699712839013	1	6	0	1
YDR047W	P32347	HEM12	41.34866	OE	1000	2	0.000652472183171777	0.000652472183175806	0.000652472183171777	1.16133547906273	1	4	0	1
YDR232W	P09950	HEM1	59.36171	OE	1000	2	0.000176366980711359	0.000176366980712307	0.000176366980711359	1.05699983585143	1	6	0	1
YEL046C	P37303	GLY1	42.81463	OE	1000	2	3.77153303166298e-07	4.02043684263653e-07	3.81075164340724e-07	1.00010074045542	1	4	0	1
YER014W	P40012	HEM14	59.70226	OE	1000	2	3.31197261539572e-06	3.31197261539572e-06	3.31197261539572e-06	1.00102050236652	1	4	0	1
YER141W	P40086	COX15	54.65792	OE	1000	2	5.61937423320039e-07	5.66670054393866e-07	5.66670054393865e-07	1.00016055866624	1	7	0	1
YER170W	P26364	ADK2	25.19373	OE	1000	2	9.9182690146317e-07	9.95752693859389e-07	9.91899764550301e-07	1.00012973111999	1	5	0	1
YGL040C	P05373	HEM2	37.73995	OE	1000	2	4.68898450317172e-05	4.68898450317173e-05	4.68898450317172e-05	1.00919965006866	1	4	0	1
YOL086C	P00330	ADH1	36.84874	OE	1000	2	6.94510320389063e-08	7.81802861885772e-08	7.73454275489493e-08	1.00001568675878	1	21	0	1
YOR176W	P16622	HEM15	44.5956	OE	1000	2	4.83546957390942e-05	4.83546957390943e-05	4.83546957390942e-05	1.01123279780263	1	4	0	1
YOR278W	P06174	HEM4	30.91124	OE	1000	2	1.62992710973062e-08	1.62992710973062e-08	1.62992710973062e-08	1.00000359505896	1	3	0	1
YPL172C	P21592	COX10	52.14718	OE	1000	2	4.39585769317147e-06	4.39585769317147e-06	4.39585769317147e-06	1.00118310374401	1	5	0	1
YPL262W	P08417	FUM1	53.15125	OE	342.192985320174	2	2.08448225134119e-07	2.12690395670417e-07	2.08550791628155e-07	1.0000587307326	1	6	0	1
YPR074C	P23254	TKL1	73.80488	OE	43.3082857959611	2	1.24209869660367e-06	1.32555664770537e-06	1.32120079764445e-06	1.00050615592025	1	10	0	1
YJL121C	P46969	RPE1	25.96689	OE	10.3657191289008	2	7.99548085248258e-07	8.07069640255517e-07	8.03196157785002e-07	1.00010845377359	1	2	0	1
YJL167W	P08524	ERG20	40.48289	OE	9.27080008096486	2	2.71243944311061e-05	2.71246009091663e-05	2.71243944311061e-05	1.00568814962452	1	5	0	1
YML126C	P54839	ERG13	55.01283	OE	9.27080008096486	2	0.000107841299064566	0.000107842736778145	0.000107841299064566	1.03149421050874	1	12	0	1
YMR220W	P24521	ERG8	50.45437	OE	9.27080008096486	2	1.31630057852152e-05	1.31631059854945e-05	1.31630057852152e-05	1.00343317179535	1	4	0	1
YMR208W	P07277	ERG12	48.45901	OE	9.27080008096486	2	2.04359374508464e-06	2.04360928895328e-06	2.04359374508464e-06	1.00051133148614	1	11	0	1
YNR043W	P32377	MVD1	44.11544	OE	9.27080008096486	2	9.13349777791731e-06	9.13356730451659e-06	9.13349777791731e-06	1.00208056530448	1	6	0	1
YPL028W	P41338	ERG10	41.72825	OE	9.27080008096486	2	4.97252800978091e-08	5.2053037033632e-08	4.97268033335638e-08	1.00001168790624	1	6	0	1
YPL117C	P15496	IDI1	33.35113	OE	9.27080008096486	2	4.98932897366376e-10	3.40946793343692e-09	4.98932897366376e-10	1.00000082858576	1	2	0	1
YHR137W	P38840	ARO9	58.52706	OE	6.14347390959366	2	8.50963948347151e-08	8.74680079731781e-08	8.58477932292e-08	1.00002685744342	1	13	0	1
YHR163W	P38858	SOL3	27.78417	OE	5.46998534978739	2	1.38416727798828e-05	1.40308180802671e-05	1.39857350645904e-05	1.00202953085906	1	5	0	1
YHR183W	P38720	GND1	53.54274	OE	5.46998534978739	2	3.58721023114621e-06	3.85461091571766e-06	3.8422255021387e-06	1.00107195603303	1	6	0	1
YNL241C	P11412	ZWF1	57.5209	OE	5.46998534978739	2	2.20032197124532e-07	2.21726121848879e-07	2.21013684257443e-07	1.00006649489136	1	5	0	1
YCR053W	P16120	THR4	57.47349	OE	2.95756136483936	2	4.78698652232645e-09	5.04931439408606e-09	4.82832030084658e-09	1.00000243263734	1	6	0	1
YHR025W	P17423	THR1	38.71215	OE	2.95756136483936	2	4.78698652229857e-07	5.04931439387005e-07	4.82832030084657e-07	1.0001120258171	1	5	0	1
YDR158W	P13663	HOM2	39.54334	OE	2.9575551622128	2	1.02900245336136e-07	1.08539360340737e-07	1.03788748853258e-07	1.00002218934152	1	6	0	1
YER052C	P10869	HOM3	58.10913	OE	2.9575551622128	2	8.60396516717507e-08	9.07546409718143e-08	8.67825705307359e-08	1.00002762053994	1	4	0	1
YJR139C	P31116	HOM6	38.50163	OE	2.9575551622128	2	8.64966735982273e-07	9.12367077926922e-07	8.72435386670845e-07	1.00020418193917	1	7	0	1
