genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange
YBL015W	P32316	ACH1	58.71137	2	1000	2	1.59836109750842e-05	1.59864385383379e-05	1.59847851450843e-05	1.00485837417932
YDL205C	P28789	HEM3	36.67427	2	1000	2	0.000232099197285789	0.000232099197287165	0.000232099197285789	1.0458546885881
YDR044W	P11353	HEM13	37.71116	2	1000	2	0.000853321232033522	0.000853321232038934	0.000853321232033522	1.19699712839013
YDR047W	P32347	HEM12	41.34866	2	1000	2	0.000652472183171777	0.000652472183175806	0.000652472183171777	1.16133547906273
YDR232W	P09950	HEM1	59.36171	2	1000	2	0.000176366980711359	0.000176366980712307	0.000176366980711359	1.05699983585143
YDR300C	P32264	PRO1	47.16164	2	1000	2	1.08869276084824e-07	1.09289159061806e-07	1.09025675289214e-07	1.00002748407432
YDR452W	Q04119	PPN1	78.34335	1	1000	2	0	1.2396105845799e-09	5.38030674133844e-13	1.000001000001
YEL046C	P37303	GLY1	42.81463	2	1000	2	3.77153303166298e-07	4.02043684263653e-07	3.81075164340724e-07	1.00010074045542
YER014W	P40012	HEM14	59.70226	2	1000	2	3.31197261539572e-06	3.31197261539572e-06	3.31197261539572e-06	1.00102050236652
YER065C	P28240	ICL1	62.40816	2	1000	2	7.47403434766845e-06	7.55511813836099e-06	7.5423421438411e-06	1.00245873571957
YER141W	P40086	COX15	54.65792	2	1000	2	5.61937423320039e-07	5.66670054393866e-07	5.66670054393865e-07	1.00016055866624
YER170W	P26364	ADK2	25.19373	2	1000	2	9.9182690146317e-07	9.95752693859389e-07	9.91899764550301e-07	1.00012973111999
YFL030W	P43567	AGX1	41.90679	2	1000	2	7.53086030725878e-07	7.61256058761981e-07	7.59968745571216e-07	1.00016489416868
YGL040C	P05373	HEM2	37.73995	2	1000	2	4.68898450317172e-05	4.68898450317173e-05	4.68898450317172e-05	1.00919965006866
YJR069C	P47119	HAM1	22.09268	1	1000	2	0	4.4753210013602e-09	8.1582570468e-11	1.000001000001
YMR319C	P40988	FET4	62.7913	2	1000	2	0	1.21701667140133e-09	1.21701667140133e-09	1.00000139359906
YOL086C	P00330	ADH1	36.84874	2	1000	2	6.94510320389063e-08	7.81802861885772e-08	7.73454275489493e-08	1.00001568675878
YOR176W	P16622	HEM15	44.5956	2	1000	2	4.83546957390942e-05	4.83546957390943e-05	4.83546957390942e-05	1.01123279780263
YOR278W	P06174	HEM4	30.91124	2	1000	2	1.62992710973062e-08	1.62992710973062e-08	1.62992710973062e-08	1.00000359505896
YOR323C	P54885	PRO2	49.73991	2	1000	2	1.41128964308515e-08	1.41673157943403e-08	1.41331587778013e-08	1.00000462085998
YPL172C	P21592	COX10	52.14718	2	1000	2	4.39585769317147e-06	4.39585769317147e-06	4.39585769317147e-06	1.00118310374401
YPL262W	P08417	FUM1	53.15125	2	342.192985320174	2	2.08448225134119e-07	2.12690395670417e-07	2.08550791628155e-07	1.0000587307326
YPR074C	P23254	TKL1	73.80488	2	43.3082857959611	2	1.24209869660367e-06	1.32555664770537e-06	1.32120079764445e-06	1.00050615592025
YJL121C	P46969	RPE1	25.96689	2	10.3657191289008	2	7.99548085248258e-07	8.07069640255517e-07	8.03196157785002e-07	1.00010845377359
YJL167W	P08524	ERG20	40.48289	2	9.27080008096486	2	2.71243944311061e-05	2.71246009091663e-05	2.71243944311061e-05	1.00568814962452
YML126C	P54839	ERG13	55.01283	2	9.27080008096486	2	0.000107841299064566	0.000107842736778145	0.000107841299064566	1.03149421050874
YMR220W	P24521	ERG8	50.45437	2	9.27080008096486	2	1.31630057852152e-05	1.31631059854945e-05	1.31630057852152e-05	1.00343317179535
YLR450W	P12684	HMG2	115.69085	2	9.27080008096486	2	0	9.67121172333357e-07	9.67112533767551e-07	1.00057761762954
YMR208W	P07277	ERG12	48.45901	2	9.27080008096486	2	2.04359374508464e-06	2.04360928895328e-06	2.04359374508464e-06	1.00051133148614
YNR043W	P32377	MVD1	44.11544	2	9.27080008096486	2	9.13349777791731e-06	9.13356730451659e-06	9.13349777791731e-06	1.00208056530448
YPL028W	P41338	ERG10	41.72825	2	9.27080008096486	2	4.97252800978091e-08	5.2053037033632e-08	4.97268033335638e-08	1.00001168790624
YPL117C	P15496	IDI1	33.35113	1	9.27080008096486	2	4.98932897366376e-10	3.40946793343692e-09	4.98932897366376e-10	1.00000082858576
YHR137W	P38840	ARO9	58.52706	2	6.14347390959366	2	8.50963948347151e-08	8.74680079731781e-08	8.58477932292e-08	1.00002685744342
YHR163W	P38858	SOL3	27.78417	2	5.46998534978739	2	1.38416727798828e-05	1.40308180802671e-05	1.39857350645904e-05	1.00202953085906
YHR183W	P38720	GND1	53.54274	2	5.46998534978739	2	3.58721023114621e-06	3.85461091571766e-06	3.8422255021387e-06	1.00107195603303
YNL241C	P11412	ZWF1	57.5209	2	5.46998534978739	2	2.20032197124532e-07	2.21726121848879e-07	2.21013684257443e-07	1.00006649489136
YBR221C	P32473	PDB1	40.0532	2	3.57854793001231	2	3.50680716295791e-06	3.52211883736161e-06	3.5197062482827e-06	1.00072746311931
YER178W	P16387	PDA1	46.34261	2	3.57854793001231	2	3.50680716295791e-06	3.52211883736161e-06	3.5197062482827e-06	1.00084162299266
YGR193C	P16451	PDX1	45.36125	2	3.57854793001231	2	3.50680716295791e-06	3.52211883736161e-06	3.5197062482827e-06	1.00082380972343
YNL071W	P12695	LAT1	51.81762	2	3.57854793001231	2	3.50680716295791e-06	3.52211883736161e-06	3.5197062482827e-06	1.00094101962237
YCR053W	P16120	THR4	57.47349	2	2.95756136483936	2	4.78698652232645e-09	5.04931439408606e-09	4.82832030084658e-09	1.00000243263734
YHR025W	P17423	THR1	38.71215	2	2.95756136483936	2	4.78698652229857e-07	5.04931439387005e-07	4.82832030084657e-07	1.0001120258171
